sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
622,4.463148310725,1.8661165536772204,4.221100000000001,maize monoculture,Rubona,5
623,2.555865814275,1.51641559262157,2.4241,Napier grass,Rubona,5
624,4.556106889537499,1.8803969648269983,4.1665,Brachiaria cv. Mulato II,Rubona,5
625,6.196176685612501,2.103667787686082,5.7775,Desmodium distortum,Rubona,5
626,5.349017124862501,1.9945665797743228,5.180899999999999,Maize + Desmodium,Rubona,5
627,1.3982625982124999,1.223264300491117,1.8312000000000002,Napier + Desmodium,Rubona,5
628,2.34333251775,1.4686419146904222,2.8499000000000003,Brachiaria + Desmodium,Rubona,5
629,0.8133916682250001,1.0343907548758522,1.3063,maize monoculture,Karama,5
630,2.5530834085125,1.515804675647288,3.2904,Napier grass,Karama,5
631,1.96965615675,1.3786794805577745,2.5040999999999998,Brachiaria cv. Mulato II,Karama,5
632,2.2168406274,1.4390861811643159,2.8221,Desmodium distortum,Karama,5
633,1.8165185894625,1.3393386430587533,2.4272,Maize + Desmodium,Karama,5
634,6.636669352575,2.156017016894861,7.664300000000001,Napier + Desmodium,Karama,5
635,2.3344835491125,1.4666024679825234,3.0126999999999997,Brachiaria + Desmodium,Karama,5
636,13.2081442679625,2.721831091461655,18.164,maize monoculture,Karama,5
637,2.1426247880250004,1.4213295937091641,2.5183000000000004,Napier grass,Karama,5
638,1.8168272677500001,1.3394195193333103,2.4719,Brachiaria cv. Mulato II,Karama,5
639,0.8895627337124998,1.061105187463187,2.0134000000000003,Desmodium distortum,Karama,5
640,5.0733236979375,1.956330482302497,5.9511,Maize + Desmodium,Karama,5
641,1.882727142225,1.356537778444023,2.6772,Napier + Desmodium,Karama,5
642,2.371487746875,1.4751033966782294,3.0188,Brachiaria + Desmodium,Karama,5
643,5.085904135875,1.9581074776860883,6.228899999999999,maize monoculture,Karama,5
644,13.2409617618375,2.7239866559994104,17.319,Napier grass,Karama,5
645,4.6410428142375,1.8932690014942022,5.7526,Brachiaria cv. Mulato II,Karama,5
646,2.0101784189625,1.388835733835529,2.5456,Desmodium distortum,Karama,5
647,22.255378198087502,3.188638374158074,16.685,Maize + Desmodium,Karama,5
648,13.960392017324999,2.770110154209045,18.677,Napier + Desmodium,Karama,5
649,11.0105546571375,2.565760924754579,15.94,Brachiaria + Desmodium,Karama,5
650,3.0561898451249996,1.620613204621631,3.7106,maize monoculture,Karama,5
651,15.449487534374999,2.8593102805596047,20.911,Napier grass,Karama,5
652,7.7535449446874996,2.2776308029995973,9.114,Brachiaria cv. Mulato II,Karama,5
653,6.094148156775,2.0911413508049272,7.1080000000000005,Desmodium distortum,Karama,5
654,3.7358250762750003,1.7467316070643573,4.5629,Maize + Desmodium,Karama,5
655,16.6623047575875,2.926505701060417,20.602,Napier + Desmodium,Karama,5
656,7.096194588937501,2.207856149022567,3.6907,Brachiaria + Desmodium,Karama,5
701,13.9887981726375,2.771888362835222,10.152000000000001,maize monoculture,Rubona,6
702,0.8151823617375,1.0350270416381413,1.4786,Napier grass,Rubona,6
703,3.7272473193000004,1.7452350172706232,4.8745,Brachiaria cv. Mulato II,Rubona,6
704,0.4164605949975,0.8823039055271751,1.1499000000000001,Desmodium distortum,Rubona,6
705,0.32308891123425,0.8428977273710466,1.087,Maize + Desmodium,Rubona,6
706,0.20641041705000002,0.7913669493338261,1.0357,Napier + Desmodium,Rubona,6
707,2.899912515525,1.589217350982707,3.8162,Brachiaria + Desmodium,Rubona,6
708,1.5951731670374998,1.279592158868978,2.52,maize monoculture,Rubona,6
709,2.7857396179875,1.5656405830725189,3.8137,Napier grass,Rubona,6
710,5.534986983787499,2.0195571046433236,1.8514000000000002,Brachiaria cv. Mulato II,Rubona,6
711,0.5969954026875001,0.9543551624393448,1.3246,Desmodium distortum,Rubona,6
712,5.816838096150001,2.0562801372608774,6.823300000000001,Maize + Desmodium,Rubona,6
713,2.4195209874000003,1.4860313163253296,3.193,Napier + Desmodium,Rubona,6
714,7.650059877037501,2.266964120205997,4.0456,Brachiaria + Desmodium,Rubona,6
715,1.2353064039,1.174123638738135,2.2524,maize monoculture,Rubona,6
716,4.4008439638875,1.8564298510290487,5.2759,Napier grass,Rubona,6
717,15.626670853275002,2.8694131443908946,13.548,Brachiaria cv. Mulato II,Rubona,6
718,15.23165576595,2.8467481437724165,17.632,Desmodium distortum,Rubona,6
719,3.461203165387501,1.6976691254422043,4.0847,Maize + Desmodium,Rubona,6
721,8.22917943105,2.3252443647278063,7.8517,Brachiaria + Desmodium,Rubona,6
722,10.1536881528,2.4976326753948523,9.712200000000001,maize monoculture,Rubona,6
723,7.922627863574999,2.294817791817806,9.625,Napier grass,Rubona,6
724,1.4608197634875,1.2415054868705722,2.5035,Brachiaria cv. Mulato II,Rubona,6
725,3.7056018430875004,1.7414484717179521,4.0641,Desmodium distortum,Rubona,6
726,27.4904761271625,3.3840673680736724,18.963,Maize + Desmodium,Rubona,6
727,1.0829300872499998,1.125880471789932,2.0348,Napier + Desmodium,Rubona,6
728,1.031184169425,1.1089533581647395,2.0111,Brachiaria + Desmodium,Rubona,6
729,0.352192914465,0.8553480481290123,1.311,maize monoculture,Karama,6
730,0.9458563575750002,1.0803995583910817,2.0802,Napier grass,Karama,6
731,1.3392503604375,1.205746338814729,2.4246,Brachiaria cv. Mulato II,Karama,6
732,1.2163398676125001,1.1682440259607254,2.3102,Desmodium distortum,Karama,6
733,0.9964331471250003,1.0974226303468504,2.0638,Maize + Desmodium,Karama,6
734,8.739588701887499,2.3739367924337706,12.538,Napier + Desmodium,Karama,6
735,1.0963965312,1.1302390260790947,2.1167,Brachiaria + Desmodium,Karama,6
